Language	Split	Size	Replacement	Model	Score
nahuatl	40	500	with	1-CRF	67.954
nahuatl	41	500	with	Morfessor	24.256
nahuatl	41	500	with	0-CRF	60.958
nahuatl	41	500	with	Seq2seq	62.028
nahuatl	41	500	with	2-CRF	71.586
nahuatl	41	500	with	1-CRF	71.78
nahuatl	41	500	with	4-CRF	71.85
nahuatl	41	500	with	3-CRF	72.3
nahuatl	42	500	with	Morfessor	24.962
nahuatl	42	500	with	0-CRF	58.012
nahuatl	42	500	with	Seq2seq	58.992
nahuatl	42	500	with	1-CRF	66.91199999999999
nahuatl	42	500	with	4-CRF	67.19
nahuatl	42	500	with	2-CRF	67.398
nahuatl	42	500	with	3-CRF	68.476
nahuatl	43	500	with	Morfessor	22.584
nahuatl	43	500	with	Seq2seq	59.4
nahuatl	43	500	with	0-CRF	60.394
nahuatl	43	500	with	2-CRF	70.444
nahuatl	43	500	with	1-CRF	70.886
nahuatl	43	500	with	3-CRF	71.634
nahuatl	43	500	with	4-CRF	71.88199999999999
nahuatl	44	500	with	Morfessor	20.556
nahuatl	44	500	with	0-CRF	57.584
nahuatl	44	500	with	Seq2seq	58.012
nahuatl	44	500	with	4-CRF	66.34400000000001
nahuatl	44	500	with	3-CRF	67.222
nahuatl	44	500	with	2-CRF	67.412
nahuatl	44	500	with	1-CRF	67.424
nahuatl	45	500	with	Morfessor	23.26
nahuatl	45	500	with	Seq2seq	56.582
nahuatl	45	500	with	0-CRF	60.362
nahuatl	45	500	with	1-CRF	65.926
nahuatl	45	500	with	2-CRF	66.004
nahuatl	45	500	with	3-CRF	66.312
nahuatl	45	500	with	4-CRF	66.638
nahuatl	46	500	with	Morfessor	22.932
nahuatl	46	500	with	Seq2seq	54.386
nahuatl	46	500	with	0-CRF	57.058
nahuatl	46	500	with	3-CRF	66.558
nahuatl	46	500	with	2-CRF	66.772
nahuatl	46	500	with	4-CRF	66.968
nahuatl	46	500	with	1-CRF	66.982
nahuatl	47	500	with	Morfessor	22.386
nahuatl	47	500	with	0-CRF	58.86
nahuatl	47	500	with	Seq2seq	60.602
nahuatl	47	500	with	1-CRF	67.822
nahuatl	47	500	with	2-CRF	68.714
nahuatl	47	500	with	3-CRF	68.988
nahuatl	47	500	with	4-CRF	69.368
nahuatl	48	500	with	Morfessor	24.794
nahuatl	48	500	with	0-CRF	56.306
nahuatl	48	500	with	Seq2seq	56.696
nahuatl	48	500	with	1-CRF	65.174
nahuatl	48	500	with	2-CRF	65.696
nahuatl	48	500	with	4-CRF	66.33
nahuatl	48	500	with	3-CRF	66.78
nahuatl	49	500	with	Morfessor	25.398
nahuatl	49	500	with	Seq2seq	60.732
nahuatl	49	500	with	0-CRF	61.544000000000004
nahuatl	49	500	with	2-CRF	69.896
nahuatl	49	500	with	1-CRF	69.938
nahuatl	49	500	with	4-CRF	70.082
nahuatl	49	500	with	3-CRF	70.71
nahuatl	50	500	with	Morfessor	24.69
nahuatl	50	500	with	Seq2seq	56.24
nahuatl	50	500	with	0-CRF	58.678
nahuatl	50	500	with	1-CRF	67.00399999999999
nahuatl	50	500	with	2-CRF	67.456
nahuatl	50	500	with	3-CRF	67.956
nahuatl	50	500	with	4-CRF	67.97800000000001
nahuatl	1	500	without	Morfessor	20.564
nahuatl	1	500	without	Seq2seq	52.654
nahuatl	1	500	without	0-CRF	59.693999999999996
nahuatl	1	500	without	1-CRF	65.656
nahuatl	1	500	without	2-CRF	66.166
nahuatl	1	500	without	3-CRF	66.964
nahuatl	1	500	without	4-CRF	67.62
nahuatl	2	500	without	Morfessor	22.846
nahuatl	2	500	without	Seq2seq	54.019999999999996
nahuatl	2	500	without	0-CRF	56.816
nahuatl	2	500	without	2-CRF	65.71000000000001
nahuatl	2	500	without	1-CRF	66.024
nahuatl	2	500	without	4-CRF	66.994
nahuatl	2	500	without	3-CRF	68.204
nahuatl	3	500	without	Morfessor	24.596
nahuatl	3	500	without	0-CRF	54.578
nahuatl	3	500	without	Seq2seq	55.76
nahuatl	3	500	without	4-CRF	63.564
nahuatl	3	500	without	1-CRF	64.378
nahuatl	3	500	without	3-CRF	64.482
nahuatl	3	500	without	2-CRF	64.53
nahuatl	4	500	without	Morfessor	20.46
nahuatl	4	500	without	Seq2seq	53.682
nahuatl	4	500	without	0-CRF	56.286
nahuatl	4	500	without	1-CRF	64.77199999999999
nahuatl	4	500	without	4-CRF	65.93
nahuatl	4	500	without	2-CRF	66.158
nahuatl	4	500	without	3-CRF	66.498
nahuatl	5	500	without	Morfessor	23.992
nahuatl	5	500	without	Seq2seq	54.69
nahuatl	5	500	without	0-CRF	55.988
nahuatl	5	500	without	3-CRF	62.836
nahuatl	5	500	without	4-CRF	62.916
nahuatl	5	500	without	2-CRF	63.13
nahuatl	5	500	without	1-CRF	63.998
nahuatl	6	500	without	Morfessor	23.052
nahuatl	6	500	without	Seq2seq	52.036
nahuatl	6	500	without	0-CRF	56.47
nahuatl	6	500	without	3-CRF	65.44200000000001
nahuatl	6	500	without	4-CRF	65.648
nahuatl	6	500	without	1-CRF	65.736
nahuatl	6	500	without	2-CRF	65.872
nahuatl	7	500	without	Morfessor	22.684
nahuatl	7	500	without	Seq2seq	54.160000000000004
nahuatl	7	500	without	0-CRF	58.652
nahuatl	7	500	without	1-CRF	65.05
nahuatl	7	500	without	2-CRF	65.712
nahuatl	7	500	without	4-CRF	65.852
nahuatl	7	500	without	3-CRF	66.106
nahuatl	8	500	without	Morfessor	24.218
nahuatl	8	500	without	Seq2seq	54.036
nahuatl	8	500	without	0-CRF	54.32
nahuatl	8	500	without	4-CRF	62.506
nahuatl	8	500	without	3-CRF	63.507999999999996
nahuatl	8	500	without	1-CRF	63.572
nahuatl	8	500	without	2-CRF	63.967999999999996
nahuatl	9	500	without	Morfessor	19.746
nahuatl	9	500	without	Seq2seq	54.18
nahuatl	9	500	without	0-CRF	55.577999999999996
nahuatl	9	500	without	1-CRF	61.814
nahuatl	9	500	without	2-CRF	62.17
nahuatl	9	500	without	4-CRF	62.272
nahuatl	9	500	without	3-CRF	62.712
nahuatl	10	500	without	Morfessor	21.336
nahuatl	10	500	without	Seq2seq	53.46
nahuatl	10	500	without	0-CRF	55.882
nahuatl	10	500	without	1-CRF	62.268
nahuatl	10	500	without	4-CRF	62.53
nahuatl	10	500	without	2-CRF	62.618
nahuatl	10	500	without	3-CRF	64.754
nahuatl	11	500	without	Morfessor	24.654
nahuatl	11	500	without	Seq2seq	53.704
nahuatl	11	500	without	0-CRF	57.594
nahuatl	11	500	without	2-CRF	65.836
nahuatl	11	500	without	1-CRF	66.03999999999999
nahuatl	11	500	without	4-CRF	67.1
nahuatl	11	500	without	3-CRF	67.416
nahuatl	12	500	without	Morfessor	20.573999999999998
nahuatl	12	500	without	Seq2seq	51.96
nahuatl	12	500	without	0-CRF	57.39
nahuatl	12	500	without	4-CRF	63.848
nahuatl	12	500	without	3-CRF	63.944
nahuatl	12	500	without	1-CRF	64.276
nahuatl	12	500	without	2-CRF	64.348
nahuatl	13	500	without	Morfessor	21.97
nahuatl	13	500	without	Seq2seq	49.47
nahuatl	13	500	without	0-CRF	53.996
nahuatl	13	500	without	1-CRF	62.246
nahuatl	13	500	without	3-CRF	62.78
nahuatl	13	500	without	2-CRF	63.052
nahuatl	13	500	without	4-CRF	63.24
nahuatl	14	500	without	Morfessor	20.662
nahuatl	14	500	without	Seq2seq	56.144
nahuatl	14	500	without	0-CRF	59.346000000000004
nahuatl	14	500	without	3-CRF	65.932
nahuatl	14	500	without	2-CRF	66.208
nahuatl	14	500	without	4-CRF	66.882
nahuatl	14	500	without	1-CRF	67.024
nahuatl	15	500	without	Morfessor	22.896
nahuatl	15	500	without	Seq2seq	55.306
nahuatl	15	500	without	0-CRF	57.186
nahuatl	15	500	without	2-CRF	67.248
nahuatl	15	500	without	1-CRF	67.66
nahuatl	15	500	without	3-CRF	68.69800000000001
nahuatl	15	500	without	4-CRF	68.858
nahuatl	16	500	without	Morfessor	23.614
nahuatl	16	500	without	Seq2seq	54.214
nahuatl	16	500	without	0-CRF	54.474
nahuatl	16	500	without	4-CRF	62.448
nahuatl	16	500	without	2-CRF	63.052
nahuatl	16	500	without	1-CRF	63.068
nahuatl	16	500	without	3-CRF	63.314
nahuatl	17	500	without	Morfessor	21.296
nahuatl	17	500	without	0-CRF	56.292
nahuatl	17	500	without	Seq2seq	56.294000000000004
nahuatl	17	500	without	4-CRF	64.632
nahuatl	17	500	without	2-CRF	64.866
nahuatl	17	500	without	1-CRF	64.96600000000001
nahuatl	17	500	without	3-CRF	65.298
nahuatl	18	500	without	Morfessor	22.252
nahuatl	18	500	without	Seq2seq	53.322
nahuatl	18	500	without	0-CRF	54.948
nahuatl	18	500	without	1-CRF	65.15
nahuatl	18	500	without	2-CRF	65.268
nahuatl	18	500	without	4-CRF	65.792
nahuatl	18	500	without	3-CRF	66.238
nahuatl	19	500	without	Morfessor	21.752
nahuatl	19	500	without	Seq2seq	55.918
nahuatl	19	500	without	0-CRF	60.796
nahuatl	19	500	without	2-CRF	68.76
nahuatl	19	500	without	4-CRF	69.518
nahuatl	19	500	without	1-CRF	69.576
nahuatl	19	500	without	3-CRF	69.712
nahuatl	20	500	without	Morfessor	21.808
nahuatl	20	500	without	Seq2seq	58.502
nahuatl	20	500	without	0-CRF	60.822
nahuatl	20	500	without	4-CRF	67.714
nahuatl	20	500	without	2-CRF	67.722
nahuatl	20	500	without	3-CRF	67.83200000000001
nahuatl	20	500	without	1-CRF	67.896
nahuatl	21	500	without	Morfessor	23.618
nahuatl	21	500	without	Seq2seq	52.092
nahuatl	21	500	without	0-CRF	55.95
nahuatl	21	500	without	2-CRF	62.716
nahuatl	21	500	without	1-CRF	63.376
nahuatl	21	500	without	3-CRF	64.592
nahuatl	21	500	without	4-CRF	64.722
nahuatl	22	500	without	Morfessor	21.622
nahuatl	22	500	without	0-CRF	55.902
nahuatl	22	500	without	Seq2seq	56.004
nahuatl	22	500	without	4-CRF	63.12
nahuatl	22	500	without	2-CRF	63.3
nahuatl	22	500	without	1-CRF	63.344
nahuatl	22	500	without	3-CRF	63.85
nahuatl	23	500	without	Morfessor	19.77
nahuatl	23	500	without	Seq2seq	56.864
nahuatl	23	500	without	0-CRF	58.833999999999996
nahuatl	23	500	without	2-CRF	66.908
nahuatl	23	500	without	4-CRF	67.55
nahuatl	23	500	without	1-CRF	67.604
nahuatl	23	500	without	3-CRF	68.162
nahuatl	24	500	without	Morfessor	23.192
nahuatl	24	500	without	Seq2seq	53.178
nahuatl	24	500	without	0-CRF	55.506
nahuatl	24	500	without	3-CRF	60.826
nahuatl	24	500	without	1-CRF	60.955999999999996
nahuatl	24	500	without	2-CRF	61.126
nahuatl	24	500	without	4-CRF	61.63
nahuatl	25	500	without	Morfessor	21.786
nahuatl	25	500	without	Seq2seq	49.558
nahuatl	25	500	without	0-CRF	53.888
nahuatl	25	500	without	4-CRF	62.334
nahuatl	25	500	without	3-CRF	62.556
nahuatl	25	500	without	1-CRF	63.028
nahuatl	25	500	without	2-CRF	63.134
nahuatl	26	500	without	Morfessor	22.55
nahuatl	26	500	without	Seq2seq	52.854
nahuatl	26	500	without	0-CRF	58.134
nahuatl	26	500	without	2-CRF	66.384
nahuatl	26	500	without	1-CRF	66.524
nahuatl	26	500	without	3-CRF	66.80799999999999
nahuatl	26	500	without	4-CRF	66.94
nahuatl	27	500	without	Morfessor	24.076
nahuatl	27	500	without	Seq2seq	56.292
nahuatl	27	500	without	0-CRF	57.897999999999996
nahuatl	27	500	without	4-CRF	68.274
nahuatl	27	500	without	2-CRF	68.31
nahuatl	27	500	without	1-CRF	68.752
nahuatl	27	500	without	3-CRF	69.428
nahuatl	28	500	without	Morfessor	22.764
nahuatl	28	500	without	Seq2seq	55.456
nahuatl	28	500	without	0-CRF	55.504000000000005
nahuatl	28	500	without	2-CRF	63.528
nahuatl	28	500	without	1-CRF	64.26599999999999
nahuatl	28	500	without	3-CRF	64.758
nahuatl	28	500	without	4-CRF	65.092
nahuatl	29	500	without	Morfessor	22.55
nahuatl	29	500	without	Seq2seq	50.602
nahuatl	29	500	without	0-CRF	56.37
nahuatl	29	500	without	4-CRF	64.764
nahuatl	29	500	without	2-CRF	64.828
nahuatl	29	500	without	1-CRF	65.116
