Language	Split	Size	Replacement	Model	Score
persian	10	4000	without	3-CRF	67.964
persian	10	4000	without	4-CRF	68.052
persian	11	4000	without	Morfessor	19.636
persian	11	4000	without	0-CRF	59.76
persian	11	4000	without	Seq2seq	67.376
persian	11	4000	without	4-CRF	69.486
persian	11	4000	without	2-CRF	69.538
persian	11	4000	without	3-CRF	69.55
persian	11	4000	without	1-CRF	69.58800000000001
persian	12	4000	without	Morfessor	19.864
persian	12	4000	without	0-CRF	58.681999999999995
persian	12	4000	without	Seq2seq	65.848
persian	12	4000	without	4-CRF	69.368
persian	12	4000	without	1-CRF	69.502
persian	12	4000	without	3-CRF	69.514
persian	12	4000	without	2-CRF	69.542
persian	13	4000	without	Morfessor	19.372
persian	13	4000	without	0-CRF	59.766
persian	13	4000	without	Seq2seq	67.062
persian	13	4000	without	1-CRF	69.976
persian	13	4000	without	4-CRF	70.16
persian	13	4000	without	2-CRF	70.204
persian	13	4000	without	3-CRF	70.262
persian	14	4000	without	Morfessor	19.188
persian	14	4000	without	0-CRF	57.08
persian	14	4000	without	Seq2seq	65.494
persian	14	4000	without	1-CRF	68.12
persian	14	4000	without	2-CRF	68.134
persian	14	4000	without	4-CRF	68.452
persian	14	4000	without	3-CRF	68.636
persian	15	4000	without	Morfessor	18.944
persian	15	4000	without	0-CRF	57.996
persian	15	4000	without	Seq2seq	66.008
persian	15	4000	without	4-CRF	68.074
persian	15	4000	without	2-CRF	68.17399999999999
persian	15	4000	without	1-CRF	68.242
persian	15	4000	without	3-CRF	68.346
persian	16	4000	without	Morfessor	19.32
persian	16	4000	without	0-CRF	58.45
persian	16	4000	without	Seq2seq	65.116
persian	16	4000	without	1-CRF	68.604
persian	16	4000	without	4-CRF	68.608
persian	16	4000	without	3-CRF	68.616
persian	16	4000	without	2-CRF	68.712
persian	17	4000	without	Morfessor	19.778000000000002
persian	17	4000	without	0-CRF	58.734
persian	17	4000	without	Seq2seq	66.294
persian	17	4000	without	2-CRF	68.76
persian	17	4000	without	1-CRF	68.854
persian	17	4000	without	3-CRF	69.028
persian	17	4000	without	4-CRF	69.036
persian	18	4000	without	Morfessor	18.906
persian	18	4000	without	0-CRF	59.612
persian	18	4000	without	Seq2seq	66.126
persian	18	4000	without	1-CRF	69.068
persian	18	4000	without	2-CRF	69.286
persian	18	4000	without	3-CRF	69.37
persian	18	4000	without	4-CRF	69.534
persian	19	4000	without	Morfessor	18.646
persian	19	4000	without	0-CRF	59.37
persian	19	4000	without	Seq2seq	66.05199999999999
persian	19	4000	without	4-CRF	68.75200000000001
persian	19	4000	without	2-CRF	68.904
persian	19	4000	without	1-CRF	68.92
persian	19	4000	without	3-CRF	68.94200000000001
persian	20	4000	without	Morfessor	19.314
persian	20	4000	without	0-CRF	58.834
persian	20	4000	without	Seq2seq	66.004
persian	20	4000	without	1-CRF	68.984
persian	20	4000	without	4-CRF	69.148
persian	20	4000	without	2-CRF	69.252
persian	20	4000	without	3-CRF	69.304
persian	21	4000	without	Morfessor	19.538
persian	21	4000	without	0-CRF	58.288000000000004
persian	21	4000	without	Seq2seq	66.314
persian	21	4000	without	1-CRF	68.158
persian	21	4000	without	4-CRF	68.254
persian	21	4000	without	3-CRF	68.256
persian	21	4000	without	2-CRF	68.332
persian	22	4000	without	Morfessor	19.946
persian	22	4000	without	0-CRF	57.942
persian	22	4000	without	Seq2seq	65.56
persian	22	4000	without	4-CRF	68.202
persian	22	4000	without	3-CRF	68.24
persian	22	4000	without	1-CRF	68.372
persian	22	4000	without	2-CRF	68.47200000000001
persian	23	4000	without	Morfessor	19.864
persian	23	4000	without	0-CRF	58.672000000000004
persian	23	4000	without	Seq2seq	66.722
persian	23	4000	without	3-CRF	69.248
persian	23	4000	without	2-CRF	69.366
persian	23	4000	without	1-CRF	69.48
persian	23	4000	without	4-CRF	69.486
persian	24	4000	without	Morfessor	19.034
persian	24	4000	without	0-CRF	58.786
persian	24	4000	without	Seq2seq	65.862
persian	24	4000	without	3-CRF	68.17399999999999
persian	24	4000	without	1-CRF	68.272
persian	24	4000	without	4-CRF	68.328
persian	24	4000	without	2-CRF	68.518
persian	25	4000	without	Morfessor	19.484
persian	25	4000	without	0-CRF	58.558
persian	25	4000	without	Seq2seq	66.294
persian	25	4000	without	2-CRF	68.32600000000001
persian	25	4000	without	1-CRF	68.374
persian	25	4000	without	4-CRF	68.398
persian	25	4000	without	3-CRF	68.46
persian	26	4000	without	Morfessor	19.22
persian	26	4000	without	0-CRF	58.258
persian	26	4000	without	Seq2seq	65.396
persian	26	4000	without	1-CRF	68.098
persian	26	4000	without	2-CRF	68.114
persian	26	4000	without	3-CRF	68.204
persian	26	4000	without	4-CRF	68.208
persian	27	4000	without	Morfessor	19.138
persian	27	4000	without	0-CRF	57.73
persian	27	4000	without	Seq2seq	65.794
persian	27	4000	without	3-CRF	68.664
persian	27	4000	without	4-CRF	68.75
persian	27	4000	without	1-CRF	68.932
persian	27	4000	without	2-CRF	68.97
persian	28	4000	without	Morfessor	18.782
persian	28	4000	without	0-CRF	58.174
persian	28	4000	without	Seq2seq	65.422
persian	28	4000	without	2-CRF	67.87400000000001
persian	28	4000	without	1-CRF	67.914
persian	28	4000	without	3-CRF	68.048
persian	28	4000	without	4-CRF	68.122
persian	29	4000	without	Morfessor	19.652
persian	29	4000	without	0-CRF	58.38
persian	29	4000	without	Seq2seq	66.404
persian	29	4000	without	1-CRF	68.946
persian	29	4000	without	3-CRF	69.082
persian	29	4000	without	2-CRF	69.128
persian	29	4000	without	4-CRF	69.218
persian	30	4000	without	Morfessor	18.726
persian	30	4000	without	0-CRF	57.546
persian	30	4000	without	Seq2seq	65.588
persian	30	4000	without	4-CRF	68.63000000000001
persian	30	4000	without	3-CRF	68.728
persian	30	4000	without	1-CRF	68.758
