Language	Split	Size	Replacement	Model	Score
wixarika	23	500	without	0-CRF	55.18
wixarika	23	500	without	Seq2seq	57.492
wixarika	23	500	without	1-CRF	62.888000000000005
wixarika	23	500	without	3-CRF	63.006
wixarika	23	500	without	2-CRF	63.181999999999995
wixarika	23	500	without	4-CRF	63.256
wixarika	24	500	without	Morfessor	37.976
wixarika	24	500	without	Seq2seq	58.23
wixarika	24	500	without	0-CRF	60.086
wixarika	24	500	without	1-CRF	65.584
wixarika	24	500	without	3-CRF	66.312
wixarika	24	500	without	2-CRF	66.376
wixarika	24	500	without	4-CRF	66.53399999999999
wixarika	25	500	without	Morfessor	36.552
wixarika	25	500	without	Seq2seq	58.558
wixarika	25	500	without	0-CRF	59.05
wixarika	25	500	without	1-CRF	64.986
wixarika	25	500	without	4-CRF	65.948
wixarika	25	500	without	3-CRF	66.228
wixarika	25	500	without	2-CRF	66.488
wixarika	26	500	without	Morfessor	36.894
wixarika	26	500	without	Seq2seq	59.256
wixarika	26	500	without	0-CRF	59.358000000000004
wixarika	26	500	without	4-CRF	63.768
wixarika	26	500	without	3-CRF	64.47200000000001
wixarika	26	500	without	1-CRF	64.614
wixarika	26	500	without	2-CRF	64.946
wixarika	27	500	without	Morfessor	37.734
wixarika	27	500	without	0-CRF	57.976
wixarika	27	500	without	Seq2seq	59.908
wixarika	27	500	without	1-CRF	65.30199999999999
wixarika	27	500	without	4-CRF	67.318
wixarika	27	500	without	2-CRF	67.466
wixarika	27	500	without	3-CRF	67.624
wixarika	28	500	without	Morfessor	37.312
wixarika	28	500	without	Seq2seq	59.178000000000004
wixarika	28	500	without	0-CRF	59.702
wixarika	28	500	without	1-CRF	68.272
wixarika	28	500	without	4-CRF	69.568
wixarika	28	500	without	3-CRF	69.626
wixarika	28	500	without	2-CRF	70.478
wixarika	29	500	without	Morfessor	33.858000000000004
wixarika	29	500	without	Seq2seq	53.914
wixarika	29	500	without	0-CRF	56.624
wixarika	29	500	without	1-CRF	65.222
wixarika	29	500	without	3-CRF	65.76
wixarika	29	500	without	2-CRF	66.1
wixarika	29	500	without	4-CRF	66.258
wixarika	30	500	without	Morfessor	38.412
wixarika	30	500	without	0-CRF	60.758
wixarika	30	500	without	Seq2seq	61.074
wixarika	30	500	without	1-CRF	67.002
wixarika	30	500	without	4-CRF	67.692
wixarika	30	500	without	2-CRF	68.676
